Karlgren (1954)          	0.5853 	-0.0144	 0.0443 	13.53	1	0.00100
Li (1971)                	0.7568 	-0.0158	 0.0683 	11.32	1	0.00100
Wáng (1980)              	0.6676 	-0.0163	 0.0606 	11.28	1	0.00100
Zhèngzhāng (2003)        	0.7487 	-0.0150	 0.0521 	14.65	1	0.00100
Starostin (1989)         	0.8367 	-0.0141	 0.0566 	15.03	1	0.00100
Pān (2000)               	0.6546 	-0.0146	 0.0519 	12.89	1	0.00100
Baxter and Sagart (2014) 	0.8693 	-0.0141	 0.0564 	15.67	1	0.00100
Schuessler (2007)        	0.7735 	-0.0152	 0.0543 	14.52	1	0.00100
Karlgren (1954)          	0.6358 	-0.0155	 0.0443 	14.69	2	0.00100
Li (1971)                	0.8554 	-0.0155	 0.0766 	11.37	2	0.00100
Wáng (1980)              	0.8648 	-0.0152	 0.0641 	13.72	2	0.00100
Zhèngzhāng (2003)        	0.7402 	-0.0149	 0.0547 	13.81	2	0.00100
Starostin (1989)         	0.8719 	-0.0165	 0.0581 	15.29	2	0.00100
Pān (2000)               	0.7402 	-0.0149	 0.0547 	13.81	2	0.00100
Baxter and Sagart (2014) 	0.8763 	-0.0157	 0.0572 	15.60	2	0.00100
Schuessler (2007)        	0.6409 	-0.0157	 0.0563 	11.66	2	0.00100
Karlgren (1954)          	0.5664 	-0.0173	 0.0468 	12.47	3	0.00100
Li (1971)                	0.9000 	-0.0195	 0.0769 	11.96	3	0.00100
Wáng (1980)              	0.8438 	-0.0177	 0.0630 	13.67	3	0.00100
Zhèngzhāng (2003)        	0.7708 	-0.0161	 0.0537 	14.65	3	0.00100
Starostin (1989)         	0.9137 	-0.0184	 0.0603 	15.46	3	0.00100
Pān (2000)               	0.7548 	-0.0165	 0.0530 	14.54	3	0.00100
Baxter and Sagart (2014) 	0.9314 	-0.0177	 0.0578 	16.41	3	0.00100
Schuessler (2007)        	0.8644 	-0.0174	 0.0573 	15.40	3	0.00100
Karlgren (1954)          	0.6377 	-0.0144	 0.0389 	16.77	4	0.00100
Li (1971)                	0.7892 	-0.0154	 0.0704 	11.42	4	0.00100
Wáng (1980)              	0.7749 	-0.0153	 0.0543 	14.56	4	0.00100
Zhèngzhāng (2003)        	0.6832 	-0.0136	 0.0485 	14.36	4	0.00100
Starostin (1989)         	0.8411 	-0.0138	 0.0522 	16.39	4	0.00100
Pān (2000)               	0.6532 	-0.0134	 0.0484 	13.77	4	0.00100
Baxter and Sagart (2014) 	0.8406 	-0.0134	 0.0521 	16.38	4	0.00100
Schuessler (2007)        	0.7123 	-0.0142	 0.0505 	14.39	4	0.00100
Karlgren (1954)          	0.5100 	-0.0175	 0.0418 	12.62	5	0.00100
Li (1971)                	0.8559 	-0.0149	 0.0706 	12.33	5	0.00100
Wáng (1980)              	0.8216 	-0.0171	 0.0581 	14.42	5	0.00100
Zhèngzhāng (2003)        	0.7775 	-0.0158	 0.0543 	14.62	5	0.00100
Starostin (1989)         	0.7987 	-0.0171	 0.0550 	14.84	5	0.00100
Pān (2000)               	0.7622 	-0.0161	 0.0540 	14.42	5	0.00100
Baxter and Sagart (2014) 	0.8796 	-0.0167	 0.0546 	16.40	5	0.00100
Schuessler (2007)        	0.7959 	-0.0144	 0.0530 	15.30	5	0.00100
Karlgren (1954)          	0.6892 	-0.0176	 0.0437 	16.18	6	0.00100
Li (1971)                	0.8036 	-0.0160	 0.0724 	11.33	6	0.00100
Wáng (1980)              	0.7649 	-0.0168	 0.0598 	13.07	6	0.00100
Zhèngzhāng (2003)        	0.6932 	-0.0173	 0.0535 	13.28	6	0.00100
Starostin (1989)         	0.7080 	-0.0162	 0.0567 	12.76	6	0.00100
Pān (2000)               	0.6932 	-0.0170	 0.0535 	13.28	6	0.00100
Baxter and Sagart (2014) 	0.8035 	-0.0175	 0.0559 	14.69	6	0.00100
Schuessler (2007)        	0.7512 	-0.0163	 0.0542 	14.17	6	0.00100
Karlgren (1954)          	0.4100 	-0.0237	 0.0371 	11.68	7	0.00100
Li (1971)                	0.7600 	-0.0254	 0.0635 	12.37	7	0.00100
Wáng (1980)              	0.6617 	-0.0255	 0.0539 	12.75	7	0.00100
Zhèngzhāng (2003)        	0.7601 	-0.0248	 0.0471 	16.67	7	0.00100
Starostin (1989)         	0.7963 	-0.0251	 0.0511 	16.07	7	0.00100
Pān (2000)               	0.6862 	-0.0249	 0.0471 	15.11	7	0.00100
Baxter and Sagart (2014) 	0.8559 	-0.0252	 0.0487 	18.10	7	0.00100
Schuessler (2007)        	0.6047 	-0.0250	 0.0477 	13.20	7	0.00100
Karlgren (1954)          	0.6995 	-0.0196	 0.0465 	15.48	8	0.00100
Li (1971)                	0.9389 	-0.0208	 0.0728 	13.19	8	0.00100
Wáng (1980)              	0.9029 	-0.0195	 0.0621 	14.84	8	0.00100
Zhèngzhāng (2003)        	0.8315 	-0.0189	 0.0554 	15.34	8	0.00100
Starostin (1989)         	0.8484 	-0.0194	 0.0593 	14.64	8	0.00100
Pān (2000)               	0.7980 	-0.0192	 0.0554 	14.74	8	0.00100
Baxter and Sagart (2014) 	0.8860 	-0.0188	 0.0582 	15.54	8	0.00100
Schuessler (2007)        	0.8112 	-0.0193	 0.0581 	14.30	8	0.00100
Karlgren (1954)          	0.5923 	-0.0140	 0.0453 	13.39	9	0.00100
Li (1971)                	0.7814 	-0.0176	 0.0709 	11.26	9	0.00100
Wáng (1980)              	0.7641 	-0.0155	 0.0620 	12.58	9	0.00100
Zhèngzhāng (2003)        	0.6874 	-0.0170	 0.0555 	12.69	9	0.00100
Starostin (1989)         	0.8950 	-0.0174	 0.0580 	15.72	9	0.00100
Pān (2000)               	0.6892 	-0.0169	 0.0549 	12.85	9	0.00100
Baxter and Sagart (2014) 	0.9110 	-0.0167	 0.0579 	16.04	9	0.00100
Schuessler (2007)        	0.7628 	-0.0168	 0.0551 	14.15	9	0.00100
Karlgren (1954)          	0.5364 	-0.0180	 0.0436 	12.71	10	0.00100
Li (1971)                	0.8271 	-0.0180	 0.0751 	11.26	10	0.00100
Wáng (1980)              	0.6987 	-0.0179	 0.0603 	11.89	10	0.00100
Zhèngzhāng (2003)        	0.8084 	-0.0166	 0.0549 	15.04	10	0.00100
Starostin (1989)         	0.9074 	-0.0199	 0.0565 	16.41	10	0.00100
Pān (2000)               	0.7709 	-0.0169	 0.0547 	14.41	10	0.00100
Baxter and Sagart (2014) 	0.8712 	-0.0186	 0.0558 	15.95	10	0.00100
Schuessler (2007)        	0.7210 	-0.0214	 0.0561 	13.23	10	0.00100
Karlgren (1954)          	0.6514 	-0.0191	 0.0480 	15.50	0.00111*
Li (1971)                	0.9187 	-0.0199	 0.0797 	13.09	0.00111*
Wáng (1980)              	0.8628 	-0.0196	 0.0665 	14.75	0.00111*
Zhèngzhāng (2003)        	0.8334 	-0.0189	 0.0589 	16.12	0.00111*
Starostin (1989)         	0.9352 	-0.0198	 0.0626 	16.96	0.00111*
Pān (2000)               	0.8003 	-0.0189	 0.0586 	15.54	0.00111*
Baxter and Sagart (2014) 	0.9694 	-0.0194	 0.0616 	17.86	0.00111*
Schuessler (2007)        	0.8264 	-0.0195	 0.0603 	15.59	0.00111*
