Karlgren (1954)          	0.5345 	-0.0056	 0.0184 	29.33	1	0.00100
Li (1971)                	0.8167 	-0.0054	 0.0293 	28.04	1	0.00100
Wáng (1980)              	0.7267 	-0.0050	 0.0250 	29.29	1	0.00100
Zhèngzhāng (2003)        	0.7740 	-0.0054	 0.0218 	35.82	1	0.00100
Starostin (1989)         	0.8629 	-0.0058	 0.0227 	38.21	1	0.00100
Pān (2000)               	0.7534 	-0.0054	 0.0218 	34.83	1	0.00100
Baxter and Sagart (2014) 	0.8926 	-0.0062	 0.0220 	40.89	1	0.00100
Schuessler (2007)        	0.7469 	-0.0063	 0.0220 	34.22	1	0.00100
Karlgren (1954)          	0.5167 	-0.0052	 0.0178 	29.39	2	0.00100
Li (1971)                	0.7931 	-0.0046	 0.0289 	27.60	2	0.00100
Wáng (1980)              	0.7471 	-0.0048	 0.0246 	30.62	2	0.00100
Zhèngzhāng (2003)        	0.7102 	-0.0051	 0.0203 	35.15	2	0.00100
Starostin (1989)         	0.8423 	-0.0058	 0.0218 	38.92	2	0.00100
Pān (2000)               	0.6976 	-0.0052	 0.0204 	34.38	2	0.00100
Baxter and Sagart (2014) 	0.8815 	-0.0057	 0.0210 	42.31	2	0.00100
Schuessler (2007)        	0.6981 	-0.0050	 0.0209 	33.66	2	0.00100
Karlgren (1954)          	0.5753 	-0.0046	 0.0164 	35.25	3	0.00100
Li (1971)                	0.8242 	-0.0037	 0.0276 	30.01	3	0.00100
Wáng (1980)              	0.7878 	-0.0041	 0.0229 	34.65	3	0.00100
Zhèngzhāng (2003)        	0.7227 	-0.0042	 0.0199 	36.48	3	0.00100
Starostin (1989)         	0.8206 	-0.0048	 0.0208 	39.71	3	0.00100
Pān (2000)               	0.7046 	-0.0042	 0.0196 	36.21	3	0.00100
Baxter and Sagart (2014) 	0.8497 	-0.0047	 0.0204 	41.78	3	0.00100
Schuessler (2007)        	0.7331 	-0.0050	 0.0205 	35.95	3	0.00100
Karlgren (1954)          	0.5548 	-0.0054	 0.0174 	32.19	4	0.00100
Li (1971)                	0.8382 	-0.0049	 0.0290 	29.03	4	0.00100
Wáng (1980)              	0.7583 	-0.0048	 0.0243 	31.38	4	0.00100
Zhèngzhāng (2003)        	0.7403 	-0.0053	 0.0205 	36.40	4	0.00100
Starostin (1989)         	0.8762 	-0.0046	 0.0215 	40.91	4	0.00100
Pān (2000)               	0.7236 	-0.0052	 0.0205 	35.63	4	0.00100
Baxter and Sagart (2014) 	0.8773 	-0.0045	 0.0210 	41.99	4	0.00100
Schuessler (2007)        	0.7869 	-0.0047	 0.0211 	37.47	4	0.00100
Karlgren (1954)          	0.5539 	-0.0054	 0.0177 	31.65	5	0.00100
Li (1971)                	0.8057 	-0.0051	 0.0289 	28.06	5	0.00100
Wáng (1980)              	0.7564 	-0.0040	 0.0244 	31.13	5	0.00100
Zhèngzhāng (2003)        	0.7331 	-0.0053	 0.0214 	34.58	5	0.00100
Starostin (1989)         	0.8720 	-0.0059	 0.0220 	39.95	5	0.00100
Pān (2000)               	0.7149 	-0.0052	 0.0215 	33.55	5	0.00100
Baxter and Sagart (2014) 	0.8778 	-0.0059	 0.0214 	41.22	5	0.00100
Schuessler (2007)        	0.7497 	-0.0055	 0.0218 	34.71	5	0.00100
Karlgren (1954)          	0.5898 	-0.0064	 0.0171 	34.82	6	0.00100
Li (1971)                	0.8480 	-0.0065	 0.0293 	29.15	6	0.00100
Wáng (1980)              	0.8140 	-0.0063	 0.0250 	32.80	6	0.00100
Zhèngzhāng (2003)        	0.7626 	-0.0054	 0.0211 	36.46	6	0.00100
Starostin (1989)         	0.8366 	-0.0065	 0.0222 	37.92	6	0.00100
Pān (2000)               	0.7650 	-0.0051	 0.0211 	36.57	6	0.00100
Baxter and Sagart (2014) 	0.8771 	-0.0061	 0.0216 	40.87	6	0.00100
Schuessler (2007)        	0.6577 	-0.0059	 0.0218 	30.41	6	0.00100
Karlgren (1954)          	0.5585 	-0.0058	 0.0176 	31.97	7	0.00100
Li (1971)                	0.8626 	-0.0047	 0.0293 	29.63	7	0.00100
Wáng (1980)              	0.7727 	-0.0049	 0.0242 	32.10	7	0.00100
Zhèngzhāng (2003)        	0.8025 	-0.0046	 0.0211 	38.17	7	0.00100
Starostin (1989)         	0.8595 	-0.0050	 0.0220 	39.23	7	0.00100
Pān (2000)               	0.7769 	-0.0045	 0.0210 	37.12	7	0.00100
Baxter and Sagart (2014) 	0.9146 	-0.0047	 0.0217 	42.35	7	0.00100
Schuessler (2007)        	0.7389 	-0.0049	 0.0220 	33.77	7	0.00100
Karlgren (1954)          	0.5786 	-0.0054	 0.0172 	33.93	8	0.00100
Li (1971)                	0.8169 	-0.0062	 0.0288 	28.54	8	0.00100
Wáng (1980)              	0.7479 	-0.0063	 0.0244 	30.85	8	0.00100
Zhèngzhāng (2003)        	0.7252 	-0.0055	 0.0212 	34.39	8	0.00100
Starostin (1989)         	0.7959 	-0.0062	 0.0219 	36.60	8	0.00100
Pān (2000)               	0.7134 	-0.0055	 0.0210 	34.17	8	0.00100
Baxter and Sagart (2014) 	0.8666 	-0.0055	 0.0213 	40.92	8	0.00100
Schuessler (2007)        	0.6797 	-0.0061	 0.0214 	32.06	8	0.00100
Karlgren (1954)          	0.5966 	-0.0049	 0.0169 	35.54	9	0.00100
Li (1971)                	0.7767 	-0.0050	 0.0290 	26.97	9	0.00100
Wáng (1980)              	0.7552 	-0.0050	 0.0245 	31.00	9	0.00100
Zhèngzhāng (2003)        	0.6817 	-0.0037	 0.0216 	31.74	9	0.00100
Starostin (1989)         	0.8567 	-0.0056	 0.0224 	38.53	9	0.00100
Pān (2000)               	0.6633 	-0.0039	 0.0215 	30.97	9	0.00100
Baxter and Sagart (2014) 	0.8532 	-0.0051	 0.0222 	38.69	9	0.00100
Schuessler (2007)        	0.7269 	-0.0048	 0.0221 	33.12	9	0.00100
Karlgren (1954)          	0.5579 	-0.0050	 0.0175 	32.10	10	0.00100
Li (1971)                	0.7994 	-0.0054	 0.0300 	26.82	10	0.00100
Wáng (1980)              	0.7729 	-0.0050	 0.0251 	31.01	10	0.00100
Zhèngzhāng (2003)        	0.7561 	-0.0049	 0.0213 	35.80	10	0.00100
Starostin (1989)         	0.8287 	-0.0052	 0.0220 	37.92	10	0.00100
Pān (2000)               	0.7389 	-0.0048	 0.0215 	34.65	10	0.00100
Baxter and Sagart (2014) 	0.8588 	-0.0053	 0.0212 	40.84	10	0.00100
Schuessler (2007)        	0.7453 	-0.0050	 0.0213 	35.25	10	0.00100
Karlgren (1954)          	0.6241 	-0.0060	 0.0193 	36.24	0.00111*
Li (1971)                	0.9091 	-0.0057	 0.0322 	31.54	0.00111*
Wáng (1980)              	0.8488 	-0.0056	 0.0272 	34.98	0.00111*
Zhèngzhāng (2003)        	0.8231 	-0.0055	 0.0234 	39.44	0.00111*
Starostin (1989)         	0.9390 	-0.0062	 0.0244 	43.10	0.00111*
